ID,English,Persian (fas),Mandarin (cmn),Hindi (hin),Spanish (spa),French (fra),Arabic (ara),Bengali (ben),Portuguese (por),Russian (rus),Urdu (urd),Indonesian (ind),German (deu),Japanese (jpn),Swahili (swa),Marathi (mar),Telugu (tel),Turkish (tur),Korean (kor),Italian (ita)
1732,consume,مصرف کردن,消费 (xiāofèi),उपभोग करना (upbhog karnā),consumir,consommer,يستهلك (yastahliku),ভোগ করা (bhog kora),consumir,потреблять,صرف کرنا (sarf karna),mengkonsumsi,konsumieren,消費する (shōhi suru),kutumia,उपभोग करणे (upabhōga karaṇē),వినియోగించు (viniyōgin̄cu),tüketmek,소비하다 (sobihada),consumare
1733,consumer,مصرف‌کننده,消费者 (xiāofèizhě),उपभोक्ता (upbhoktā),consumidor,consommateur,مستهلك (mustahlik),ভোক্তা (bhokta),consumidor,потребитель,صارف (sārif),konsumen,Verbraucher,消費者 (shōhisha),mtumiaji,उपभोक्ता (upabhōktā),వినియోగదారుడు (viniyōgadāruḍu),tüketici,소비자 (sobija),consumatore
1734,consumption,مصرف,消费 (xiāofèi),उपभोग (upbhog),consumo,consommation,استهلاك (istihlāk),ভোগ (bhog),consumo,потребление,صرف (sarf),konsumsi,Verbrauch,消費 (shōhi),matumizi,उपभोग (upabhōga),వినియోగం (viniyōgaṁ),tüketim,소비 (sobi),consumo
1735,contact,تماس; تماس گرفتن,联系 (liánxì),संपर्क (sampark),contacto; contactar,contact; contacter,اتصال (ittiṣāl),যোগাযোগ (jogajog),contato; contatar,контакт; контактировать,رابطہ (rābita),kontak; menghubungi,Kontakt; kontaktieren,連絡 (renraku),mawasiliano,संपर्क (samparka),సంప్రదించండి (sampradin̄caṇḍi),temas; irtibat kurmak,연락 (yeonlag),contatto; contattare
1736,contagion,سرایت; واگیر,传染 (chuánrǎn),संक्रमण (saṅkramaṇ),contagio,contagion,عدوى (ʿadwā),সংক্রমণ (shongkromon),contágio,инфекция; заражение,چھوت (chhūt),penularan,Ansteckung,伝染 (densen),maambukizi,संसर्ग (sansarga),అంటువ్యాధి (aṇṭuvyādhi),bulaşma; salgın,전염 (jeon-yeom),contagio
1737,contain,شامل بودن; در بر گرفتن,包含 (bāohán),शामिल होना (śāmil honā),contener,contenir,يحتوي (yaḥtawī),ধারণ করা (dharon kora),conter,содержать,مشتمل ہونا (mushtamil honā),mengandung,enthalten,含む (fukumu),kuwa na,असणे (asaṇē),కలిగి ఉండు (kaligi uṇḍu),içermek; kapsamak,포함하다 (pohamhada),contenere
1738,container,ظرف,容器 (róngqì),कंटेनर (kanṭenar),contenedor,récipient,حاوية (ḥāwiyah),ধারক (dharok),recipiente,контейнер,کنٹینر (container),wadah,Behälter,容器 (yōki),kontena,पात्र (pātra),కంటెయినర్ (kaṇṭeyinar),konteyner; kap,용기 (yong-gi),contenitore
1739,contaminate,آلوده کردن,污染 (wūrǎn),दूषित करना (dūṣit karnā),contaminar,contaminer,يلوث (yulawwithu),দূষিত করা (dushito kora),contaminar,загрязнять,آلودہ کرنا (ālūda karna),mencemari,kontaminieren; verseuchen,汚染する (osen suru),kuchafua,दूषित करणे (dūṣita karaṇē),కలుషితం చేయు (kaluṣitaṁ cēyu),kirletmek; bulaştırmak,오염시키다 (oyeomsikida),contaminare
1740,contemplate,تفکر کردن; در نظر داشتن,沉思 (chénsī),विचार करना (vicār karnā),contemplar,contempler,يتأمل (yataʾammalu),চিন্তা করা (chinta kora),contemplar,созерцать; обдумывать,غور کرنا (ghaur karna),merenungkan,betrachten; erwägen,熟考する (jukkō suru),kutafakari,चिंतन करणे (cintana karaṇē),ఆలోచించు (ālōcin̄cu),düşünmek; tasarlamak,숙고하다 (suggohada),contemplare
1741,contemporary,معاصر; امروزی,当代的 (dāngdài de),समकालीन (samkālīn),contemporáneo,contemporain,معاصر (muʿāṣir),সমসাময়িক (shomoshamaik),contemporâneo,современный,ہم عصر (ham-'asr),kontemporer,zeitgenössisch,現代の (gendai no),-a kisasa,समकालीन (samakālīna),సమకాలీన (samakālīna),çağdaş; modern,현대의 (hyeondae-ui),contemporaneo
1742,contempt,تحقیر; اهانت,鄙视 (bǐshì),अवमानना (avamānnā),desprecio,mépris,ازدراء (izdirāʾ),অবজ্ঞা (obog-gya),desprezo,презрение,حقارت (haqārat),penghinaan,Verachtung,軽蔑 (keibetsu),dharau,तिरस्कार (tiraskāra),అవమానం (avamānaṁ),aşağılama; hor görme,경멸 (gyeongmyeol),disprezzo
1743,contemptuous,تحقیرآمیز,轻蔑的 (qīngmiè de),तिरस्कारपूर्ण (tiraskārpūrṇ),desdeñoso,méprisant,ازدرائي (izdirāʾī),অবজ্ঞাপূর্ণ (obog-gyapurno),desdenhoso,презрительный,حقارت آمیز (haqārat-āmēz),menghina,verächtlich,軽蔑的な (keibetsutekina),-a dharau,तिरस्कारयुक्त (tiraskārayukta),అవమానకరమైన (avamānakaramaina),aşağılayıcı; küçümseyen,경멸적인 (gyeongmyeoljeog-in),sprezzante
1744,contemptuously,با تحقیر,轻蔑地 (qīngmiè de),तिरस्कारपूर्वक (tiraskārpūrvak),con desdén,avec mépris,باحتقار (bi-ḥtiqārin),অবজ্ঞার সাথে (obog-gyar shathe),desdenhosamente,презрительно,حقارت سے (haqārat se),dengan hina,verächtlich,軽蔑して (keibetsu shite),kwa dharau,तिरस्काराने (tiraskārānē),అవమానకరంగా (avamānakaraṅgā),aşağılayarak,경멸적으로 (gyeongmyeoljeog-eulo),sprezzantemente
1745,contend,رقابت کردن; ادعا کردن,竞争 (jìngzhēng),संघर्ष करना (saṅgharṣ karnā),contender; sostener,rivaliser; prétendre,ينافس (yunāfisu),প্রতিদ্বন্দ্বিতা করা (protidondita kora),competir; sustentar,соперничать; утверждать,مقابلہ کرنا (muqābala karna),bersaing; berpendapat,kämpfen; behaupten,競う (kisou),kushindana,स्पर्धा करणे (spardhā karaṇē),పోటీపడు (pōṭīpaḍu),yarışmak; iddia etmek,다투다 (datuda),contendere; sostenere
1746,contender,رقیب; مدعی,竞争者 (jìngzhēngzhě),प्रतियोगी (pratiyogī),contendiente,concurrent,منافس (munāfis),প্রতিদ্বন্দ্বী (protidondī),competidor,соперник; претендент,مدعی (mudda'ī),pesaing,Anwärter; Kandidat,競争相手 (kyōsōaite),mshindani,स्पर्धक (spardhaka),పోటీదారు (pōṭīdāru),rakip; aday,경쟁자 (gyeongjaengja),concorrente
1747,content,محتوا; راضی,内容 (nèiróng); 满足的 (mǎnzú de),सामग्री (sāmagrī); संतुष्ट (santuṣṭ),contenido; contento,contenu; content,محتوى (muḥtawā); راض (rāḍin),বিষয়বস্তু (bishoybostu),conteúdo; contente,содержание; довольный,مواد (mawād); مطمئن (mutma'in),isi; puas,Inhalt; zufrieden,内容 (naiyō),yaliyomo,सामग्री (sāmagrī),విషయం (viṣayaṁ),içerik; memnun,콘텐츠; 만족하는 (kontencheu; manjog-haneun),contenuto; contento
1748,contention,بحث; ادعا,争论 (zhēnglùn),विवाद (vivād),disputa; contención,contestation,جدال (jidāl),বিতর্ক (bitorko),disputa,спор; утверждение,تنازعہ (tanāzu'),perselisihan,Streit; Behauptung,論争 (ronsō),ubishani,वाद (vāda),వివాదం (vivādaṁ),tartışma; iddia,논쟁 (nonjaeng),contesa
1749,contest,مسابقه; رقابت,比赛 (bǐsài),प्रतियोगिता (pratiyogitā),concurso,concours,مسابقة (musābaqah),প্রতিযোগিতা (protijogita),concurso; competição,соревнование; конкурс,مقابلہ (muqābala),kontes,Wettbewerb,コンテスト (kontesuto),mashindano,स्पर्धा (spardhā),పోటీ (pōṭī),yarışma,대회 (daehoe),gara; concorso
1750,contested,بحث‌برانگیز; مورد مناقشه,有争议的 (yǒu zhēngyì de),विवादित (vivādit),disputado,contesté,متنازع عليه (mutanāzaʿ ʿalayhi),প্রতিদ্বন্দ্বিতাপূর্ণ (protidonditapurno),contestado,оспариваемый,متنازعہ (mutanāza'),dipertandingkan,umstritten,異議のある (igi no aru),-enye ushindani,वादग्रस्त (vādagrasta),వివాదాస్పద (vivādāspada),tartışmalı,논란이 많은 (nonlan-i manh-eun),contestato
1751,context,زمینه; بافت,语境 (yǔjìng),संदर्भ (sandarbh),contexto,contexte,سياق (siyāq),প্রসঙ্গ (proshongo),contexto,контекст,سیاق و سباق (siyāq-o-sabāq),konteks,Kontext,文脈 (bunmyaku),muktadha,संदर्भ (sandarbha),సందర్భం (sandarbhaṁ),bağlam; içerik,문맥 (munmaeg),contesto
1752,contextual,زمینه‌ای; وابسته به بافت,语境的 (yǔjìng de),प्रासंगिक (prāsaṅgik),contextual,contextuel,سياقي (siyāqī),প্রাসঙ্গিক (prashongik),contextual,контекстуальный,سیاقی (siyāqī),kontekstual,kontextuell,文脈上の (bunmyakujō no),-a muktadha,सांदर्भिक (sāndarbhika),సందర్భోచిత (sandarbhōcita),bağlamsal,문맥상의 (munmaegsang-ui),contestuale
1753,contextually,از نظر زمینه‌ای,在语境上 (zài yǔjìng shàng),प्रासंगिक रूप से (prāsaṅgik rūp se),contextualmente,contextuellement,سياقيا (siyāqiyyan),প্রসঙ্গক্রমে (proshongokrome),contextualmente,контекстуально,سیاق و سباق کے لحاظ سے (siyāq-o-sabāq ke lihāz se),secara kontekstual,kontextuell,文脈的に (bunmyakutekini),kwa muktadha,संदર્ભानुसार (sandarbhānusāra),సందర్భానుసారంగా (sandarbhānusāraṅgā),bağlamsal olarak,문맥적으로 (munmaegjeog-eulo),contestualmente
1754,continent,قاره,大陆 (dàlù),महाद्वीप (mahādvīp),continente,continent,قارة (qārrah),মহাদেশ (mohadesh),continente,континент; материк,براعظم (barr-e-āzam),benua,Kontinent,大陸 (tairiku),bara,खंड (khaṇḍa),ఖండం (khaṇḍaṁ),kıta,대륙 (daelyug),continente
1755,continual,مداوم; پیوسته,持续的 (chíxù de),निरंतर (nirantar),continuo,continuel,مستمر (mustamirr),অবিরাম (obiram),contínuo,непрерывный,مسلسل (musalsal),terus-menerus,kontinuierlich,絶え間ない (taemanai),-a kuendelea,सतत (satata),నిరంతర (nirantara),sürekli; devamlı,끊임없는 (kkeunh-im-eobsneun),continuo
1756,continually,پیوسته; به طور مداوم,不断地 (bùduàn de),लगातार (lagātār),continuamente,continuellement,باستمرار (bi-stimrār),ক্রমাগত (kromagoto),continuamente,постоянно,مسلسل (musalsal),terus-menerus,fortwährend,絶えず (taezu),daima,सतत (satata),నిరంతరం (nirantaraṁ),sürekli olarak,계속해서 (gyesoghaeseo),continuamente
1757,continue,ادامه دادن,继续 (jìxù),जारी रखना (jārī rakhnā),continuar,continuer,يستمر (yastamirru),চালিয়ে যাওয়া (chaliye jaowa),continuar,продолжать,جاری رکھنا (jārī rakhnā),melanjutkan,fortsetzen,続ける (tsuzukeru),kuendelea,चालू ठेवणे (cālū ṭhēvaṇē),కొనసాగించు (konasāgin̄cu),devam etmek,계속하다 (gyesoghada),continuare
1758,continuity,پیوستگی,连续性 (liánxùxìng),निरंतरता (nirantartā),continuidad,continuité,استمرارية (istimrāriyyah),ধারাবাহিকতা (dharabahikota),continuidade,непрерывность; преемственность,تسلسل (tasalsul),kontinuitas,Kontinuität,連続性 (renzokusei),mwendelezo,सातत्य (sātatya),కొనసాగింపు (konasāgimpu),süreklilik; devamlılık,연속성 (yeonsogseong),continuità
1759,continuous,پیوسته; مداوم,连续的 (liánxù de),सतत (satat),continuo,continu,مستمر (mustamirr),অবিচ্ছিন্ন (obichchinno),contínuo,непрерывный; сплошной,مسلسل (musalsal),berkelanjutan,kontinuierlich,連続的な (renzokutekina),-a kuendelea,सतत (satata),నిరంతర (nirantara),sürekli,연속적인 (yeonsogjeog-in),continuo
1760,continuously,بطور مداوم,连续不断地 (liánxù bùduàn de),लगातार (lagātār),continuamente,continuellement,باستمرار (bi-stimrār),ক্রমাগতভাবে (kromagotobhabe),continuamente,непрерывно,مسلسل (musalsal),secara terus menerus,kontinuierlich,連続的に (renzokutekini),bila kuacha,सतत (satata),నిరంతరం (nirantaraṁ),sürekli olarak,계속적으로 (gyesogjeog-eulo),continuamente
1761,contract,قرارداد; منقبض شدن,合同 (hétong); 收缩 (shōusuō),अनुबंध (anubandh); सिकुड़ना (sikuṛnā),contrato; contraer,contrat; se contracter,عقد (ʿaqd); يتقلص (yataqallaṣu),চুক্তি (chukti),contrato; contrair,контракт; сжиматься,معاہدہ (mu'āhada),kontrak; mengerut,Vertrag; sich zusammenziehen,契約 (keiyaku); 収縮する (shūshuku suru),mkataba,करार (karāra),ఒప్పందం (oppandaṁ),sözleşme; kontrat; kasılmak,계약 (gyeyag),contratto; contrarsi
1762,contractor,پیمانکار,承包商 (chéngbāoshāng),ठेकेदार (ṭhekedār),contratista,entrepreneur,مقاول (muqāwil),ঠিকাদার (thikadar),empreiteiro,подрядчик,ٹھیکیدار (ṭhekedār),kontraktor,Auftragnehmer,請負業者 (ukeoi gyōsha),mkandarasi,कंत्राटदार (kantrāṭadāra),కాంట్రాక్టర్ (kāṇṭrākṭar),müteahhit; taşeron,계약자 (gyeyagja),appaltatore
1763,contractual,قراردادی,合同的 (hétong de),संविदात्मक (sanvidātmak),contractual,contractuel,تعاقدي (taʿāqudī),চুক্তিভিত্তিক (chukti-bhittik),contratual,договорный,معاہداتی (mu'āhadātī),kontraktual,vertraglich,契約上の (keiyakujō no),-a mkataba,करारानुसार (karārānusāra),ఒప్పంద (oppanda),sözleşmeye dayalı,계약상의 (gyeyagsang-ui),contrattuale
1764,contractually,طبق قرارداد,合同上 (hétong shàng),अनुबंध के अनुसार (anubandh ke anusār),contractualmente,contractuellement,تعاقديا (taʿāqudiyyan),চুক্তি অনুসারে (chukti onushare),contratualmente,по контракту,معاہدے کے تحت (mu'āhade ke tahat),secara kontraktual,vertraglich,契約により (keiyaku ni yori),kwa mkataba,करारानुसार (karārānusāra),ఒప్పందం ప్రకారం (oppandaṁ prakāraṁ),sözleşmeye göre,계약에 따라 (gyeyag-e ttara),contrattualmente
1765,contradict,تناقض داشتن; رد کردن,矛盾 (máodùn),खंडन करना (khaṇḍan karnā),contradecir,contredire,يناقض (yunāqiḍu),অস্বীকার করা (oshshikar kora),contradizer,противоречить,تردید کرنا (tardīd karna),bertentangan,widersprechen,矛盾する (mujun suru),kupinga,खंडन करणे (khaṇḍana karaṇē),విరుద్ధంగా చెప్పు (virud'dhaṅgā ceppu),çelişmek; yalanlamak,모순되다 (mosundoeda),contraddire
1766,contradiction,تناقض,矛盾 (máodùn),विरोधाभास (virodhābhās),contradicción,contradiction,تناقض (tanāquḍ),বৈপরীত্য (boiporit-to),contradição,противоречие,تضاد (tazād),kontradiksi,Widerspruch,矛盾 (mujun),kinyume,विरोधाभास (virōdhābhāsa),వైరుధ్యం (vairudhyaṁ),çelişki,모순 (mosun),contraddizione
1767,contradictory,متناقض,矛盾的 (máodùn de),विरोधाभासी (virodhābhāsī),contradictorio,contradictoire,متناقض (mutanāqiḍ),পরস্পরবিরোধী (porosporbirodhi),contraditório,противоречивый,متضاد (mutazād),bertentangan,widersprüchlich,矛盾した (mujun shita),-a kupingana,विरोधाभासी (virōdhābhāsī),విరుద్ధమైన (virud'dhamaina),çelişkili,모순적인 (mosunjeog-in),contraddittorio
1768,contraption,ابزار عجیب,奇特的装置 (qítè de zhuāngzhì),अजीब मशीन (ajīb maśīn),artilugio,engin,جهاز غريب (jihāz gharīb),অদ্ভুত যন্ত্র (odbhut jontro),engenhoca,хитроумное приспособление,عجیب آلہ (ajīb āla),alat aneh,Vorrichtung,奇妙な仕掛け (kimyōna shikake),kifaa cha ajabu,विचित्र यंत्र (vicitra yantra),విచిత్రమైన పరికరం (vicitramaina parikaraṁ),acayip alet,기묘한 장치 (gimyohan jangchi),aggeggio
1769,contrary,برعکس; مخالف,相反的 (xiāngfǎn de),विपरीत (viparīt),contrario,contraire,عكس (ʿaks),বিপরীত (biporit),contrário,противоположный,برعکس (bar'aks),sebaliknya,gegensätzlich,反対の (hantai no),kinyume,विरुद्ध (virud'dha),విరుద్ధమైన (virud'dhamaina),aksi; ters; zıt,반대의 (bandae-ui),contrario
1770,contrast,تضاد; مقایسه کردن,对比 (duìbǐ),विषमता (viṣamatā),contraste; contrastar,contraste; contraster,تباين (tabāyun),বৈসাদৃশ্য (boishadrish-sho),contraste,контраст; противопоставлять,تضاد (tazād),kontras,Kontrast; kontrastieren,対照 (taishō),tofauti,विरोध (virōdha),వ్యత్యాసం (vyatyāsaṁ),kontrast; zıtlık; karşılaştırmak,대조 (daejo),contrasto; contrastare
1771,contribute,مشارکت کردن; اهدا کردن,贡献 (gòngxiàn),योगदान करना (yogdān karnā),contribuir,contribuer,يساهم (yusāhimu),অবদান রাখা (obodan rakha),contribuir,вносить вклад,حصہ ڈالنا (hissa ḍālnā),berkontribusi,beitragen,貢献する (kōken suru),kuchangia,योगदान देणे (yōgadāna dēṇē),సహకరించు (sahakarin̄cu),katkıda bulunmak,기여하다 (giyeohada),contribuire
1772,contribution,مشارکت; سهم,贡献 (gòngxiàn),योगदान (yogdān),contribución,contribution,مساهمة (musāhamah),অবদান (obodan),contribuição,вклад,حصہ (hissa),kontribusi,Beitrag,貢献 (kōken),mchango,योगदान (yōgadāna),సహకారం (sahakāraṁ),katkı; bağış,기여 (giyeo),contributo
1773,contributor,مشارکت کننده; اهداکننده,贡献者 (gòngxiànzhě),योगदानकर्ता (yogdānkartā),contribuyente,contributeur,مساهم (musāhim),অবদানকারী (obodonkari),contribuinte,участник; вкладчик,حصہ دار (hissadār),kontributor,Beitragszahler,貢献者 (kōkensha),mchangiaji,योगदानकर्ता (yōgadānakartā),సహకారి (sahakāri),katkıda bulunan,기고자 (gigoja),contribuente
1774,contrive,تدبیر کردن; ابداع کردن,设计 (shèjì),उपाय करना (upāy karnā),ingeniar,manigancer,يدبر (yudabbiru),উদ্ভাবন করা (udbhabon kora),arquitetar,придумывать; изобретать,تدبیر کرنا (tadbīr karna),merancang,aushecken,考案する (kōan suru),kubuni,योजना करणे (yōjanā karaṇē),పన్నాగం పన్ను (pannāgaṁ pannu),tertiplemek; icat etmek,고안하다 (goanhada),escogitare
1775,control,کنترل; کنترل کردن,控制 (kòngzhì),नियंत्रण (niyantraṇ),control; controlar,contrôle; contrôler,تحكم (taḥakkum),নিয়ন্ত্রণ (niyontron),controle; controlar,контроль; контролировать,اختیار (ikhtiyār),kontrol; mengontrol,Kontrolle; kontrollieren,制御 (seigyo),udhibiti,नियंत्रण (niyantraṇa),నియంత్రణ (niyantraṇa),kontrol; kontrol etmek,통제 (tongje),controllo; controllare
1776,controversial,بحث برانگیز,有争议的 (yǒu zhēngyì de),विवादास्पद (vivādāspad),controvertido,controversé,مثير للجدل (muthīr lil-jadal),বিতর্কিত (bitorkito),controverso,спорный,متنازعہ (mutanāza'),kontroversial,umstritten,物議を醸す (butsugi o kamosu),-a ubishi,वादग्रस्त (vādagrasta),వివాదాస్పద (vivādāspada),tartışmalı,논란이 많은 (nonlan-i manh-eun),controverso
1777,controversy,جنجال; بحث,争议 (zhēngyì),विवाद (vivād),controversia,controverse,جدل (jadal),বিতর্ক (bitorko),controvérsia,спор; полемика,تنازعہ (tanāzu'),kontroversi,Kontroverse,論争 (ronsō),ubishi,वाद (vāda),వివాదం (vivādaṁ),tartışma; polemik,논란 (nonlan),controversia
1778,convenience,راحتی; سهولت,便利 (biànlì),सुविधा (suvidhā),conveniencia,commodité,راحة (rāḥah),সুবিধা (shubidha),conveniência,удобство,سہولت (sahūlat),kenyamanan,Bequemlichkeit,便利 (benri),urahisi,सोय (sōya),సౌకర్యం (saukaryaṁ),kolaylık; rahatlık,편의 (pyeon-ui),comodità
1779,convenient,راحت; مناسب,方便的 (fāngbiàn de),सुविधाजनक (suvidhājanak),conveniente,pratique,ملائم (mulāʾim),সুবিধাজনক (shubidhajonok),conveniente,удобный,آسان (āsān),nyaman,bequem; praktisch,便利な (benrina),rahisi,सोयीस्कर (sōyiskara),సౌకర్యవంతమైన (saukaryavantamaina),uygun; elverişli,편리한 (pyeollihan),comodo
1780,conveniently,به راحتی,方便地 (fāngbiàn de),सुविधाजनक रूप से (suvidhājanak rūp se),convenientemente,commodément,بشكل ملائم (bi-shaklin mulāʾimin),সুবিধামত (shubidhamoto),convenientemente,удобно,آسانی سے (āsānī se),dengan nyaman,bequem,便利に (benri ni),kwa urahisi,सोयीस्करपणे (sōyiskarapaṇē),సౌకర్యవంతంగా (saukaryavantaṅgā),uygun bir şekilde,편리하게 (pyeollihage),comodamente
1781,convention,قرارداد; همایش; رسم,会议 (huìyì); 惯例 (guànlì),सम्मेलन (sammelan),convención,convention,اتفاقية (ittifāqiyyah); مؤتمر (muʾtamar), সম্মেলন (shommelon),convenção,конвенция; съезд,اجلاس (ijlās),konvensi,Tagung; Konvention,大会 (taikai),mkutano,संमेलन (sanmēlāna),సదస్సు (sadas'su),kongre; gelenek,대회 (daehoe),convenzione
1782,conventional,مرسوم; سنتی,传统的 (chuántǒng de),पारंपरिक (pāramparik),convencional,conventionnel,تقليدي (taqlīdī),প্রচলিত (procholito),convencional,традиционный; общепринятый,روایتی (riwāyatī),konvensional,konventionell,従来の (jūrai no),-a kawaida,पारंपारिक (pāramparika),సాంప్రదాయ (sāmpradāya),geleneksel,관습적인 (gwansuebjeog-in),convenzionale
1783,conversation,گفتگو,对话 (duìhuà),बातचीत (bātcīt),conversación,conversation,محادثة (muḥādathah),কথোপকথন (kothopokothon),conversa,разговор; беседа,گفتگو (guftugū),percakapan,Gespräch; Unterhaltung,会話 (kaiwa),mazungumzo,संभाषण (sambhāṣaṇa),సంభాషణ (sambhāṣaṇa),sohbet; konuşma,대화 (daehwa),conversazione
1784,converse,برعکس; گفتگو کردن,相反的 (xiāngfǎn de); 交谈 (jiāotán),विपरीत (viparīt),converso; conversar,inverse; converser,عكس (ʿaks),বিপরীত (biporit),converso; conversar,обратный; разговаривать,برعکس (bar'aks),berlawanan; bercakap-cakap,Gegenteil; sich unterhalten,逆の (gyaku no),kinyume,उलट (ulaṭa),విరుద్ధం (virud'dhaṁ),ters; zıt; sohbet etmek,반대 (bandae),converso; conversare
1785,conversely,برعکس,相反地 (xiāngfǎn de),इसके विपरीत (iske viparīt),a la inversa,inversement,على العكس (ʿalā al-ʿaks),বিপরীতক্রমে (biporitkrome),inversamente,наоборот,برعکس (bar'aks),sebaliknya,umgekehrt,逆に (gyaku ni),kinyume chake,उलट (ulaṭa),విరుద్ధంగా (virud'dhaṅgā),tersine; aksine,반대로 (bandaelo),al contrario
1786,conversion,تبدیل,转换 (zhuǎnhuàn),रूपांतरण (rūpāntaraṇ),conversión,conversion,تحويل (taḥwīl),রূপান্তর (rupantor),conversão,преобразование; конверсия,تبدیلی (tabdīlī),konversi,Umwandlung,変換 (henkan),ubadilishaji,रूपांतर (rūpāntara),మళ్లింపు (maḷḷimpu),dönüşüm,변환 (byeonhwan),conversione
1787,convert,تبدیل کردن,转换 (zhuǎnhuàn),बदलना (badalnā),convertir,convertir,يحول (yuḥawwilu),রূপান্তর করা (rupantor kora),converter,преобразовывать; конвертировать,تبدیل کرنا (tabdīl karna),mengubah,umwandeln,変換する (henkan suru),kubadilisha,रूपांतर करणे (rūpāntara karaṇē),మార్చు (mārcu),dönüştürmek,전환하다 (jeonhwanhada),convertire
1788,convey,منتقل کردن; رساندن,传达 (chuándá),पहुंचाना (pahunchānā),transmitir,transmettre,ينقل (yanqulu),বহন করা (bohon kora),transmitir,передавать; выражать,پہنچانا (pahunchānā),menyampaikan,übermitteln,伝える (tsutaeru),kuwasilisha,पोहोचवणे (pōhōcavaṇē),తెలియజేయు (teliyajēyu),iletmek; taşımak,전달하다 (jeondalhada),trasmettere
1789,convict,محکوم; محکوم کردن,罪犯 (zuìfàn),दोषी (doṣī),convicto; condenar,condamné; condamner,مدان (mudān),দণ্ডিত ব্যক্তি (dondito bekti),condenado; condenar,осужденный; осуждать,مجرم (mujrim),narapidana,Sträfling; verurteilen,囚人 (shūjin),mfungwa,अपराधी (aparādhī),ఖైదీ (khaidī),mahkum; hükümlü; mahkum etmek,죄수 (joesu),condannato; condannare
1790,conviction,اعتقاد راسخ; محکومیت,信念 (xìnniàn); 定罪 (dìngzuì),विश्वास (viśvās); दोषसिद्धि (doṣasiddhi),convicción; condena,conviction; condamnation,قناعة (qanāʿah),দৃঢ় বিশ্বাস (drirho bishshash),convicção,убеждение; осуждение,یقین (yaqīn),keyakinan; hukuman,Überzeugung; Verurteilung,信念 (shinnen),imani,खात्री (khātrī),నమ్మకం (nam'makaṁ),inanç; kanı; mahkumiyet,신념 (sinnyeom),convinzione; condanna
1791,convince,متقاعد کردن,说服 (shuōfú),समझाना (samjhānā),convencer,convaincre,يقنع (yuqniʿu),প্রত্যয় জন্মানো (prottoy jonmano),convencer,убеждать,قائل کرنا (qā'il karna),meyakinkan,überzeugen,説得する (settoku suru),kushawishi,पटवणे (paṭavaṇē),ఒప్పించు (oppin̄cu),ikna etmek,설득하다 (seoldeughada),convincere
1792,convinced,متقاعد,确信的 (quèxìn de),आश्वस्त (āśvast),convencido,convaincu,مقتنع (muqtaniʿ),প্রত্যয়ী (prottoyi),convencido,убежденный,قائل (qā'il),yakin,überzeugt,確信して (kakushin shite),-liosadikishwa,खात्री असलेला (khātrī asalēlā),నమ్మిన (nam'mina),ikna olmuş,확신하는 (hwagsin-haneun),convinto
1793,convincing,متقاعدکننده,令人信服的 (lìng rén xìnfú de),प्रતીતિકর (pratītikar),convincente,convaincant,مقنع (muqniʿ),প্রত্যয়জনক (prottoyjonok),convincente,убедительный,قائل (qā'il),meyakinkan,überzeugend,説得力のある (settokuryoku no aru),-a kushawishi,खात्री पटेल असा (khātrī paṭēla asā),ఒప్పించగల (oppin̄cagala),ikna edici,설득력 있는 (seoldeuglyeog issneun),convincente
1794,convoluted,پیچیده; پر پیچ و خم,复杂的 (fùzá de),जटिल (jaṭil),rebuscado,compliqué,معقد (muʿaqqad),জটিল (joṭil),complicado,запутанный; извилистый,پیچیدہ (pechīda),berbelit-belit,kompliziert; verschlungen,複雑な (fukuzatsuna),-liopindapinda,गुंतागुंतीचा (guntāguntīcā),చిక్కుముడి (cikkumuḍi),karmaşık; dolambaçlı,복잡한 (bogjabhan),contorto
1795,cook,پختن; آشپز,做饭 (zuòfàn); 厨师 (chúshī),पकाना (pakānā); रसोइया (rasoiyā),cocinar; cocinero,cuisiner; cuisinier,يطبخ (yaṭbukhu); طباخ (ṭabbākh), রান্না করা (ranna kora),cozinhar; cozinheiro,готовить; повар,پکانا (pakānā),memasak; koki,kochen; Koch,料理する (ryōri suru),kupika; mpishi,शिजवणे (śijavaṇē),వంట చేయు (vaṇṭa cēyu),pişirmek; aşçı,요리하다; 요리사 (yolihada; yolisa),cucinare; cuoco
1796,cooker,اجاق گاز,炊具 (chuījù),कुकर (kukar),cocina,cuisinière,طباخ (ṭabbākh),কুকার (kukar),fogão,плита,چولہا (chūlhā),kompor,Herd,調理器具 (chōri kigu),jiko,कुकर (kukara),కుక్కర్ (kukkar),ocak,조리기 (joligi),fornello
1797,cookie,کلوچه; بیسکویت,饼干 (bǐnggān),कुकी (kukī),galleta,biscuit,كعكة (kaʿkah),বিস্কুট (biskut),biscoito,печенье,بسکٹ (biskut),kue kering,Keks,クッキー (kukkī),biskuti,कुकी (kukī),కుకీ (kukī),kurabiye,쿠키 (kuki),biscotto
1798,cooking,آشپزی,烹饪 (pēngrèn),खाना बनाना (khānā banānā),cocina,cuisine,طبخ (ṭabkh),রান্না (ranna),culinária,кулинария; приготовление пищи,کھانا پکانا (khānā pakānā),memasak,Kochen,料理 (ryōri),upishi,स्वयंपाक (svayampāka),వంట (vaṇṭa),yemek pişirme,요리 (yoli),cucina
